lat,lon,alt,date,device,os,version
38.9123077393,-77.0018081665,49.3414955139,2013-04-06 22:09:04,"iPhone5,1",6.1.3,1.1
38.9179534912,-77.0219726562,50,2013-04-06 22:17:36,"iPhone5,1",6.1.3,1.1
38.9268913269,-77.0263061523,50,2013-04-06 22:24:00,"iPhone5,1",6.1.3,1.1
38.932559967,-77.0284423828,39.5425834656,2013-04-06 22:28:16,"iPhone5,1",6.1.3,1.1
38.9271697998,-77.0324020386,55.313205719,2013-04-07 01:06:08,"iPhone5,1",6.1.3,1.1
38.9250183105,-77.0270996094,52.3040122986,2013-04-07 03:26:56,"iPhone5,1",6.1.3,1.1
38.9153594971,-77.0121994019,50,2013-04-07 03:33:20,"iPhone5,1",6.1.3,1.1
38.8961486816,-77.0036697388,31,2013-04-07 03:46:08,"iPhone5,1",6.1.3,1.1
38.8964424133,-76.9854354858,26.642080307,2013-04-07 03:56:48,"iPhone5,1",6.1.3,1.1
38.8922843933,-77.0084991455,31.3403568268,2013-04-07 11:18:24,"iPhone5,1",6.1.3,1.1
38.8906402588,-77.0276870728,31,2013-04-07 11:24:48,"iPhone5,1",6.1.3,1.1
38.8873138428,-77.040435791,31,2013-04-07 11:58:56,"iPhone5,1",6.1.3,1.1
38.8679084778,-77.0418014526,5.89847183228,2013-04-07 12:56:32,"iPhone5,1",6.1.3,1.1
38.8629875183,-76.9965820312,2.00912880898,2013-04-07 13:11:28,"iPhone5,1",6.1.3,1.1
38.8758659363,-77.0219726562,-6.44739484787,2013-04-07 13:17:52,"iPhone5,1",6.1.3,1.1
38.8907203674,-77.0331115723,3.42689418793,2013-04-07 13:41:20,"iPhone5,1",6.1.3,1.1
38.8955459595,-77.0327758789,31,2013-04-07 14:09:04,"iPhone5,1",6.1.3,1.1
38.8925666809,-77.0198516846,31,2013-04-07 17:04:00,"iPhone5,1",6.1.3,1.1
38.8965148926,-76.9855422974,29.6633415222,2013-04-07 17:16:48,"iPhone5,1",6.1.3,1.1
38.8937950134,-76.998626709,33.2744827271,2013-04-07 17:57:20,"iPhone5,1",6.1.3,1.1
38.889667511,-77.0158004761,31,2013-04-07 18:01:36,"iPhone5,1",6.1.3,1.1
38.8892478943,-77.0231628418,29.7837352753,2013-04-07 18:08:00,"iPhone5,1",6.1.3,1.1
38.8893547058,-77.0303726196,21.4654216766,2013-04-07 18:16:32,"iPhone5,1",6.1.3,1.1
38.8914527893,-77.041557312,24.479057312,2013-04-07 18:33:36,"iPhone5,1",6.1.3,1.1
38.888885498,-77.0288085938,31,2013-04-07 18:59:12,"iPhone5,1",6.1.3,1.1
38.8920822144,-77.0243301392,6.42330741882,2013-04-07 19:48:16,"iPhone5,1",6.1.3,1.1
38.8931236267,-77.0106048584,29.1473369598,2013-04-07 19:52:32,"iPhone5,1",6.1.3,1.1
38.9002876282,-76.9995193481,9.29570198059,2013-04-07 19:58:56,"iPhone5,1",6.1.3,1.1
38.8960456848,-76.9863815308,31.0755901337,2013-04-07 21:05:04,"iPhone5,1",6.1.3,1.1
38.892250061,-77.0116271973,31.7698459625,2013-04-08 12:35:12,"iPhone5,1",6.1.3,1.1
38.8932037354,-77.0385971069,5.76303482056,2013-04-08 12:54:24,"iPhone5,1",6.1.3,1.1
38.8979454041,-77.0694351196,9.43989372253,2013-04-08 13:07:12,"iPhone5,1",6.1.3,1.1
38.9049339294,-77.0661239624,57.6115989685,2013-04-08 23:00:16,"iPhone5,1",6.1.3,1.1
38.9042243958,-77.0533905029,82,2013-04-08 23:06:40,"iPhone5,1",6.1.3,1.1
38.8981399536,-77.0301742554,41.0970802307,2013-04-08 23:28:00,"iPhone5,1",6.1.3,1.1
38.8985557556,-77.0001296997,41.0970802307,2013-04-08 23:38:40,"iPhone5,1",6.1.3,1.1
38.8968811035,-76.9848937988,30.9872970581,2013-04-08 23:42:56,"iPhone5,1",6.1.3,1.1
38.8930168152,-77.0104751587,30.5155944824,2013-04-09 11:48:16,"iPhone5,1",6.1.3,1.1
38.8913078308,-77.0332870483,30.7259483337,2013-04-09 12:03:12,"iPhone5,1",6.1.3,1.1
38.8991165161,-77.0501480103,62.2676467896,2013-04-09 12:13:52,"iPhone5,1",6.1.3,1.1
38.8983192444,-77.0710678101,65.7333145142,2013-04-09 12:30:56,"iPhone5,1",6.1.3,1.1
38.9046401978,-77.0567855835,82,2013-04-09 22:58:08,"iPhone5,1",6.1.3,1.1
38.8969688416,-77.0383071899,61.5810852051,2013-04-09 23:19:28,"iPhone5,1",6.1.3,1.1
38.8888549805,-77.0145111084,24.3011665344,2013-04-09 23:32:16,"iPhone5,1",6.1.3,1.1
38.8879547119,-76.9983291626,31.9266414642,2013-04-09 23:40:48,"iPhone5,1",6.1.3,1.1
38.8964500427,-76.985496521,30.7038726807,2013-04-09 23:51:28,"iPhone5,1",6.1.3,1.1
38.8964920044,-76.9854812622,19.5965194702,2013-04-10 03:52:32,"iPhone5,1",6.1.3,1.1
38.8919563293,-76.9927749634,31.6379909515,2013-04-10 11:54:40,"iPhone5,1",6.1.3,1.1
38.8903884888,-77.0181045532,31.6379909515,2013-04-10 12:07:28,"iPhone5,1",6.1.3,1.1
38.8888282776,-77.0344238281,31.6379909515,2013-04-10 12:11:44,"iPhone5,1",6.1.3,1.1
38.8941268921,-77.0564422607,31.6379909515,2013-04-10 12:22:24,"iPhone5,1",6.1.3,1.1
38.897567749,-77.0708312988,48.1890258789,2013-04-10 12:28:48,"iPhone5,1",6.1.3,1.1
38.9052352905,-77.0617523193,55.2187957764,2013-04-11 01:08:16,"iPhone5,1",6.1.3,1.1
38.9005508423,-77.0439224243,50,2013-04-11 01:14:40,"iPhone5,1",6.1.3,1.1
38.8980560303,-77.017074585,50,2013-04-11 01:25:20,"iPhone5,1",6.1.3,1.1
38.8957710266,-76.9910430908,50,2013-04-11 01:36:00,"iPhone5,1",6.1.3,1.1
38.8964004517,-76.9849243164,16.4973449707,2013-04-11 05:05:04,"iPhone5,1",6.1.3,1.1
38.8887672424,-77.0018386841,32.3606758118,2013-04-11 12:56:32,"iPhone5,1",6.1.3,1.1
38.8898735046,-77.0275421143,31.8625259399,2013-04-11 13:02:56,"iPhone5,1",6.1.3,1.1
38.8938865662,-77.0557022095,31.8625259399,2013-04-11 13:15:44,"iPhone5,1",6.1.3,1.1
38.8972434998,-77.0706176758,53.6440238953,2013-04-11 13:32:48,"iPhone5,1",6.1.3,1.1
38.9079093933,-77.063583374,58.9883346558,2013-04-11 16:46:56,"iPhone5,1",6.1.3,1.1
38.9006843567,-77.0441970825,50,2013-04-11 17:14:40,"iPhone5,1",6.1.3,1.1
38.8995742798,-77.0295181274,37.0555648804,2013-04-11 17:18:56,"iPhone5,1",6.1.3,1.1
38.8977508545,-77.0097198486,37.0555648804,2013-04-11 17:29:36,"iPhone5,1",6.1.3,1.1
38.8948249817,-76.9858474731,34.7018852234,2013-04-11 17:33:52,"iPhone5,1",6.1.3,1.1
38.8985404968,-76.9983215332,35.5191345215,2013-04-11 18:25:04,"iPhone5,1",6.1.3,1.1
38.8991203308,-77.0063781738,31,2013-04-11 18:29:20,"iPhone5,1",6.1.3,1.1
38.9000244141,-77.0002212524,36.2482757568,2013-04-11 18:42:08,"iPhone5,1",6.1.3,1.1
38.9062080383,-76.9792861938,41.7159805298,2013-04-11 18:48:32,"iPhone5,1",6.1.3,1.1
38.9178123474,-76.9597473145,41.977394104,2013-04-11 18:54:56,"iPhone5,1",6.1.3,1.1
38.9948921204,-76.8776245117,41.9882698059,2013-04-11 19:05:36,"iPhone5,1",6.1.3,1.1
39.0852203369,-76.8311920166,41.9882698059,2013-04-11 19:18:24,"iPhone5,1",6.1.3,1.1
39.1207275391,-76.7803955078,41.9882698059,2013-04-11 19:24:48,"iPhone5,1",6.1.3,1.1
39.1948547363,-76.7041397095,41.9882698059,2013-04-11 19:33:20,"iPhone5,1",6.1.3,1.1
39.2584609985,-76.6449661255,41.9882698059,2013-04-11 19:39:44,"iPhone5,1",6.1.3,1.1
39.291595459,-76.5359344482,41.9882698059,2013-04-11 19:50:24,"iPhone5,1",6.1.3,1.1
39.3095054626,-76.5302505493,41.9882698059,2013-04-11 20:07:28,"iPhone5,1",6.1.3,1.1
39.3330001831,-76.5040435791,41.9882698059,2013-04-11 20:18:08,"iPhone5,1",6.1.3,1.1
39.3747673035,-76.4574508667,41.9882698059,2013-04-11 20:22:24,"iPhone5,1",6.1.3,1.1
39.4481887817,-76.337059021,41.9882698059,2013-04-11 20:35:12,"iPhone5,1",6.1.3,1.1
39.5133857727,-76.2259368896,41.9882698059,2013-04-11 20:43:44,"iPhone5,1",6.1.3,1.1
39.594833374,-76.0712203979,41.9882698059,2013-04-11 20:56:32,"iPhone5,1",6.1.3,1.1
39.6395874023,-75.8469009399,41.9882698059,2013-04-11 21:05:04,"iPhone5,1",6.1.3,1.1
39.6606826782,-75.7071228027,41.9882698059,2013-04-11 21:11:28,"iPhone5,1",6.1.3,1.1
39.6910667419,-75.6504821777,41.9882698059,2013-04-11 21:17:52,"iPhone5,1",6.1.3,1.1
39.7552490234,-75.5104064941,41.9882698059,2013-04-11 21:24:16,"iPhone5,1",6.1.3,1.1
39.7256278992,-75.4269866943,41.9882698059,2013-04-11 21:32:48,"iPhone5,1",6.1.3,1.1
39.8339080811,-75.1308670044,41.9882698059,2013-04-11 21:47:44,"iPhone5,1",6.1.3,1.1
39.8769035339,-75.0303421021,14.3509674072,2013-04-11 21:52:00,"iPhone5,1",6.1.3,1.1
39.9650726318,-74.916847229,14.3509674072,2013-04-11 22:00:32,"iPhone5,1",6.1.3,1.1
40.1220207214,-74.7055740356,14.3509674072,2013-04-11 22:15:28,"iPhone5,1",6.1.3,1.1
40.1718330383,-74.639213562,14.3509674072,2013-04-11 22:21:52,"iPhone5,1",6.1.3,1.1
40.3251228333,-74.4780349731,14.3509674072,2013-04-11 22:36:48,"iPhone5,1",6.1.3,1.1
40.5161323547,-74.363571167,45.4974632263,2013-04-11 22:51:44,"iPhone5,1",6.1.3,1.1
40.5687446594,-74.2590713501,28.5902099609,2013-04-11 22:58:08,"iPhone5,1",6.1.3,1.1
40.7777862549,-74.0504302979,-22.9879665375,2013-04-11 23:17:20,"iPhone5,1",6.1.3,1.1
40.7518310547,-73.9955978394,47.9722480774,2013-04-11 23:30:08,"iPhone5,1",6.1.3,1.1
40.7472000122,-73.9933853149,32.412902832,2013-04-11 23:40:48,"iPhone5,1",6.1.3,1.1
40.7122802734,-73.9529800415,33.6239547729,2013-04-12 00:08:32,"iPhone5,1",6.1.3,1.1
40.716545105,-73.9479370117,28.8109989166,2013-04-12 00:25:36,"iPhone5,1",6.1.3,1.1
40.7160301208,-73.9617538452,21.0363140106,2013-04-12 03:50:24,"iPhone5,1",6.1.3,1.1
40.7111854553,-73.961151123,26.3201293945,2013-04-12 04:07:28,"iPhone5,1",6.1.3,1.1
40.7141265869,-73.9535217285,14.2941007614,2013-04-12 05:11:28,"iPhone5,1",6.1.3,1.1
40.716255188,-73.9472885132,21.6577472687,2013-04-12 05:28:32,"iPhone5,1",6.1.3,1.1
40.7108421326,-73.9605789185,23.949508667,2013-04-12 15:08:48,"iPhone5,1",6.1.3,1.1
40.7178649902,-73.9866714478,19.6809558868,2013-04-12 15:21:36,"iPhone5,1",6.1.3,1.1
40.7151069641,-73.9778060913,19.9256515503,2013-04-12 15:32:16,"iPhone5,1",6.1.3,1.1
40.7150039673,-73.983757019,30.1962890625,2013-04-12 15:40:48,"iPhone5,1",6.1.3,1.1
40.7152557373,-73.9778442383,49.5389404297,2013-04-12 15:49:20,"iPhone5,1",6.1.3,1.1
40.7126235962,-73.9692459106,62.9577636719,2013-04-12 15:53:36,"iPhone5,1",6.1.3,1.1
40.7112159729,-73.9598388672,14.6385803223,2013-04-12 15:57:52,"iPhone5,1",6.1.3,1.1
40.7175178528,-73.9539031982,12.1245727539,2013-04-12 16:04:16,"iPhone5,1",6.1.3,1.1
40.71641922,-73.9481201172,24.731628418,2013-04-12 16:08:32,"iPhone5,1",6.1.3,1.1
40.7332000732,-73.9870758057,32.3480072021,2013-04-12 17:14:40,"iPhone5,1",6.1.3,1.1
40.7380905151,-73.9836730957,24.5821819305,2013-04-12 17:23:12,"iPhone5,1",6.1.3,1.1
40.7412834167,-73.9881515503,34.6380195618,2013-04-12 17:31:44,"iPhone5,1",6.1.3,1.1
40.7361106873,-73.989944458,32.3557624817,2013-04-12 17:38:08,"iPhone5,1",6.1.3,1.1
40.7139625549,-73.9514541626,15.9330654144,2013-04-12 19:03:28,"iPhone5,1",6.1.3,1.1
40.7145309448,-73.9574279785,16.699836731,2013-04-13 00:49:04,"iPhone5,1",6.1.3,1.1
40.7175064087,-73.9960784912,16.6765174866,2013-04-13 01:04:00,"iPhone5,1",6.1.3,1.1
40.7259750366,-74.0088348389,23.5497989655,2013-04-13 04:52:16,"iPhone5,1",6.1.3,1.1
40.7239341736,-73.9848175049,21.0261421204,2013-04-13 07:13:04,"iPhone5,1",6.1.3,1.1
40.7186698914,-73.9480819702,22.2837657928,2013-04-13 07:21:36,"iPhone5,1",6.1.3,1.1
40.7174491882,-73.9539642334,14.3117980957,2013-04-13 14:43:12,"iPhone5,1",6.1.3,1.1
40.712097168,-73.9590759277,22.3515472412,2013-04-13 14:47:28,"iPhone5,1",6.1.3,1.1
40.7129135132,-73.9669418335,24.2363605499,2013-04-13 14:56:00,"iPhone5,1",6.1.3,1.1
40.718170166,-73.9831542969,22.138584137,2013-04-13 15:02:24,"iPhone5,1",6.1.3,1.1
40.7142982483,-73.9752731323,22.7501316071,2013-04-13 15:06:40,"iPhone5,1",6.1.3,1.1
40.7163619995,-73.9475021362,21.1499824524,2013-04-13 15:32:16,"iPhone5,1",6.1.3,1.1
40.7346420288,-73.9901885986,24,2013-04-13 16:57:36,"iPhone5,1",6.1.3,1.1
40.7317810059,-73.9855651855,25.5238132477,2013-04-13 17:29:36,"iPhone5,1",6.1.3,1.1
40.7353782654,-73.9904403687,28.2604141235,2013-04-13 21:32:48,"iPhone5,1",6.1.3,1.1
40.7317428589,-73.985534668,25.8633556366,2013-04-13 23:06:40,"iPhone5,1",6.1.3,1.1
40.7301826477,-73.9796066284,22.2487983704,2013-04-13 23:15:12,"iPhone5,1",6.1.3,1.1
40.7322463989,-73.9851074219,17.553440094,2013-04-13 23:57:52,"iPhone5,1",6.1.3,1.1
40.7369270325,-73.9903182983,22.6901073456,2013-04-14 01:42:24,"iPhone5,1",6.1.3,1.1
