"Date","Dist","Ln"
"2013-06-16",46.0555356732307,3.82984796553596
"2013-06-17",10.0797020709114,2.31052370574922
"2013-06-18",13.2532326127531,2.58424149345002
"2013-06-19",15.4723439848027,2.73905417119406
"2013-06-20",10.5384363654509,2.35502917968389
"2013-06-21",10.1026240744533,2.31279519945442
"2013-06-22",0.409101955736254,-0.893790873475825
"2013-06-23",5.01626456352522,1.61268554586419
"2013-06-24",9.81685329449388,2.28410063257243
"2013-06-25",11.2732509674674,2.42243274851905
"2013-06-26",14.2864626039822,2.65931241783963
"2013-06-27",10.5661755923042,2.35765791722075
"2013-06-28",54.5062651019346,3.99831565106106
"2013-06-29",64.2278246843026,4.16243652310008
"2013-06-30",1.04389704348762,0.0429608672484174
"2013-07-01",9.93514423708541,2.29607839397443
