day,dist,ln.dist
2013-11-21,25.09807769,3.222791257
2013-11-22,18.90930974,2.93965438
2013-11-23,25.20817629,3.227168398
2013-11-24,8.392075363,2.127287851
2013-11-28,191.7284847,5.256080229
2013-11-29,58.24893948,4.064725886
2013-11-30,24.07621929,3.181224602
2013-12-1,13.41261552,2.596195721
2013-12-2,196.1431634,5.278844818
2013-12-3,8.713617064,2.164886982
2013-12-4,17.96116984,2.888212196
2013-12-5,9.74931929,2.277197466
2013-12-6,8.596093983,2.151307912
2013-12-7,14.2603811,2.657485139
2013-12-8,2.283913508,0.825890423
2013-12-9,7.477804238,2.011939198
2013-12-10,15.42936983,2.736272825
2013-12-11,8.771527626,2.171510979
2013-12-12,9.544939297,2.256011098
2013-12-13,9.103573689,2.208667049
2013-12-14,5.980167934,1.78844865
2013-12-15,9.570652161,2.258701349
2013-12-16,8.87800079,2.183576395
2013-12-17,17.08961506,2.838470973
2013-12-18,17.45338094,2.85953338
2013-12-19,10.47790199,2.349268467
2013-12-20,14.53524641,2.676576487
2013-12-21,10.07112978,2.309672893
2013-12-26,1211.180373,7.099350678
2013-12-27,2.643350547,0.972047259
2013-12-28,10.71920034,2.372036558
2013-12-29,7.281168191,1.985291315
2013-12-30,9.80536875,2.282930067
2013-12-31,12.99344837,2.564445259
2014-1-1,4.430860416,1.48859379
2014-1-2,18.88182734,2.938199943
2014-1-3,183.7003044,5.213305649
2014-1-4,948.8348557,6.855234764
2014-1-5,20.97067992,3.043125268
2014-1-6,8.729365425,2.166692678
2014-1-7,8.593163275,2.150966919
2014-1-8,9.032328375,2.200810183
2014-1-9,18.65451828,2.926088384
2014-1-15,161.4818884,5.08439299
2014-1-17,0.005474851,-5.207590201
2014-1-20,164.864741,5.105125386
2014-1-31,169.2328568,5.131275617
2014-2-1,32.2966549,3.474963662
2014-2-2,12.03414631,2.487748135
2014-2-3,9.707104822,2.272858073
2014-2-4,21.52392306,3.069165017
2014-2-5,17.00807922,2.833688479
2014-2-6,9.030053416,2.200558283
2014-2-7,9.225732788,2.221996622
2014-2-8,11.84692969,2.472068736
2014-2-9,8.654195287,2.158044208
2014-2-10,9.399755247,2.240683651
2014-2-11,18.97115871,2.942919863
2014-2-12,7.91813934,2.069156246
2014-2-13,8.69707666,2.162986953
2014-3-17,17.46265375,2.860064529
2014-3-18,7.777884309,2.051284362
2014-3-19,18.63721759,2.925160527
2014-3-20,264.3595554,5.577310129
2014-3-21,183.5738754,5.212617177
2014-3-23,136.0535648,4.913048667
2014-3-24,184.7306623,5.218898885
2014-3-25,9.376075966,2.238161335
2014-3-26,8.72086844,2.165718825
2014-3-27,8.685939442,2.161705562
2014-3-28,26.1112416,3.262365934
2014-3-29,3.02127371,1.105678501
2014-3-30,17.68618602,2.872783884
2014-3-31,14.29140584,2.659658366
2014-4-1,20.49704133,3.02028055
2014-4-2,24.85014023,3.212863396
2014-4-3,14.60058185,2.681061381
2014-4-4,10.06619759,2.309183038
2014-4-5,3.560979231,1.270035572
2014-4-6,13.18103328,2.578778923
2014-4-7,17.08759558,2.838352796
2014-4-8,17.37387743,2.854967781
2014-4-9,8.713924063,2.164922213
2014-4-10,32.19911983,3.471939118
2014-4-11,14.1390159,2.648938061
2014-4-12,14.34460603,2.663373985
2014-4-13,6.883347347,1.929105067
2014-4-14,10.20089355,2.322475319
2014-4-15,14.75342275,2.691475107
2014-4-16,11.85939243,2.473120164
2014-4-17,17.56732593,2.866040695
2014-4-18,18.42423679,2.913667015
2014-4-19,9.443237514,2.245298878
2014-4-20,9.507569266,2.252088246
2014-4-21,9.100514497,2.20833095
2014-4-22,9.217619627,2.221116829
2014-4-23,9.455145304,2.24655907
2014-4-24,9.233621043,2.222851284
2014-4-26,10.42203982,2.343922777
2014-4-27,7.270036342,1.98376129
2014-4-28,9.189365376,2.218046878
2014-4-29,18.65826122,2.926289009
2014-4-30,17.80193722,2.879307284
2014-5-1,8.216774509,2.106177737
2014-5-2,9.207587691,2.220027893
2014-5-3,25.99917283,3.258064723
2014-5-4,21.47394704,3.066840435
2014-5-5,9.394350408,2.240108488
2014-5-6,18.50558007,2.918072312
2014-5-7,18.10429086,2.896148974
2014-5-8,26.51621097,3.277756281
2014-5-9,25.31423936,3.231367058
2014-5-10,21.32631834,3.059941913
2014-5-11,19.78585122,2.984967098
2014-5-12,19.05572022,2.94736733
2014-5-13,16.21599987,2.785998401
2014-5-14,17.53459141,2.864175582
2014-5-15,20.23026077,3.007179541
2014-5-16,28.64413636,3.354948758
2014-5-17,12.27086382,2.507227658
2014-5-18,13.06846483,2.570202063
2014-5-19,9.329256547,2.233155328
2014-5-20,14.03400428,2.641483262
2014-5-21,13.84171541,2.627686888
2014-5-22,3.550733357,1.267154162
2014-5-23,0.940933743,-0.060882553
2014-5-24,15.09759647,2.714535557
2014-5-25,12.26977252,2.507138719
2014-5-26,0.627065298,-0.4667046
2014-5-27,3.605963612,1.282589034
2014-5-28,0.409197822,-0.893556567
2014-6-2,14.44967622,2.670672007
2014-6-3,3.54290959,1.264948308
2014-6-4,200.9476125,5.30304424
2014-6-5,38.06992508,3.639424603
2014-6-6,68.35589496,4.224727806
2014-6-7,30.03489599,3.402359905
2014-6-20,168.199638,5.125151595
2014-7-28,179.3955019,5.189592876
2014-7-29,93.12855568,4.533980858
2014-7-30,74.7785303,4.314530816
2014-7-31,102.2235634,4.627162213
2014-8-1,75.8269371,4.3284536
2014-8-2,10.14236179,2.316720889
2014-8-3,54.23440347,3.993315457
2014-8-4,22.9726501,3.134304382
2014-8-5,57.10496751,4.04489111
2014-8-6,382.3632785,5.946371148
2014-8-7,19.98185704,2.994824714
2014-8-8,8.851817605,2.180622817
2014-8-9,14.80916063,2.695245951
2014-8-10,165.8246366,5.110930824
2014-8-11,21.64064313,3.074573173
2014-8-12,29.5245141,3.385220905
2014-8-14,10.06564208,2.309127851
2014-8-15,8.601480264,2.151934312
2014-8-17,11.26141233,2.421382044
2014-8-18,0.150147352,-1.89613812
2014-8-22,6.144051286,1.815484343
2014-8-23,6.013087679,1.793938374
2014-8-24,17.66296127,2.871469864
2014-8-25,32.95672137,3.495195227
2014-8-26,79.13165307,4.37111296
2014-9-1,3385.729282,8.127324607
2014-9-2,0.59965045,-0.511408376
2014-9-3,0.59097483,-0.525981852
2014-9-5,3825.151226,8.249353282
2014-9-6,81.31928627,4.398383212
2014-9-7,240.779321,5.483880833
2014-9-8,199.7400765,5.297016904
2014-9-9,11.69044081,2.458771483
2014-9-10,34.90137416,3.552526203
