index,date,lat,lon,alt,device,os,version
110,2/23/13 3:16,38.9049263,-77.0567627,49.35675049,"iPhone5,1",6.0.1,1.1
111,2/23/13 3:44,38.90388107,-77.05114746,37.91115189,"iPhone5,1",6.0.1,1.1
112,2/23/13 3:54,38.91083908,-77.0424881,49.00249481,"iPhone5,1",6.0.1,1.1
113,2/23/13 4:01,38.91239166,-77.03666687,49.29380035,"iPhone5,1",6.0.1,1.1
114,2/23/13 6:06,38.91493988,-77.03170776,44.82688904,"iPhone5,1",6.0.1,1.1
115,2/23/13 6:49,38.91124725,-77.02804565,42.96409225,"iPhone5,1",6.0.1,1.1
116,2/23/13 6:56,38.90062332,-77.01735687,52,"iPhone5,1",6.0.1,1.1
117,2/23/13 7:10,38.89649963,-76.9854126,29.03163147,"iPhone5,1",6.0.1,1.1
118,2/23/13 16:25,38.90029526,-76.99754334,39.43637466,"iPhone5,1",6.0.1,1.1
119,2/23/13 16:40,38.89993286,-77.01602173,38.9875679,"iPhone5,1",6.0.1,1.1
120,2/23/13 22:56,38.89505005,-77.00362396,32,"iPhone5,1",6.0.1,1.1
121,2/23/13 23:04,38.8964119,-76.98537445,20.42883301,"iPhone5,1",6.0.1,1.1
122,2/25/13 12:30,38.89051819,-76.98959351,35,"iPhone5,1",6.0.1,1.1
123,2/25/13 12:45,38.89003754,-77.01474762,33.63631058,"iPhone5,1",6.0.1,1.1
124,2/25/13 12:54,38.88943481,-77.03076935,32,"iPhone5,1",6.0.1,1.1
125,2/25/13 13:09,38.89850998,-77.05580902,39.385849,"iPhone5,1",6.0.1,1.1
126,2/25/13 13:24,38.89466095,-77.06757355,67,"iPhone5,1",6.0.1,1.1
127,2/26/13 0:23,38.90660858,-77.06104279,76.89037323,"iPhone5,1",6.0.1,1.1
128,2/26/13 0:38,38.9034996,-77.04682922,51.63480377,"iPhone5,1",6.0.1,1.1
129,2/26/13 0:53,38.8946991,-76.99625397,35,"iPhone5,1",6.0.1,1.1
130,2/26/13 1:08,38.89651871,-76.985466,28.93656349,"iPhone5,1",6.0.1,1.1
131,2/26/13 12:35,38.88759232,-76.99506378,35.07191849,"iPhone5,1",6.0.1,1.1
132,2/26/13 12:50,38.88861847,-77.01469421,28.18370819,"iPhone5,1",6.0.1,1.1
133,2/26/13 13:24,38.89433289,-77.06738281,7.272937775,"iPhone5,1",6.0.1,1.1
134,2/26/13 21:52,38.89756012,-77.07070923,56.82528687,"iPhone5,1",6.0.1,1.1
135,2/26/13 22:51,38.90697098,-77.05961609,57.0161705,"iPhone5,1",6.0.1,1.1
136,2/26/13 23:06,38.89891815,-77.05241394,58.64430237,"iPhone5,1",6.0.1,1.1
137,2/26/13 23:13,38.88903427,-77.03110504,25.30628967,"iPhone5,1",6.0.1,1.1
138,2/26/13 23:21,38.891922,-77.0165863,32,"iPhone5,1",6.0.1,1.1
139,2/26/13 23:36,38.89219284,-76.99179077,35,"iPhone5,1",6.0.1,1.1
140,2/26/13 23:42,38.89638138,-76.98545074,35,"iPhone5,1",6.0.1,1.1
141,2/27/13 0:23,38.89325333,-76.99304962,35,"iPhone5,1",6.0.1,1.1
142,2/27/13 2:57,38.89439011,-76.98617554,35.03987885,"iPhone5,1",6.0.1,1.1
143,2/27/13 13:32,38.88994217,-76.99032593,35,"iPhone5,1",6.0.1,1.1
144,2/27/13 13:41,38.88719177,-76.99502563,34.86407852,"iPhone5,1",6.0.1,1.1
145,2/27/13 14:06,38.89684296,-77.06635284,34.92032623,"iPhone5,1",6.0.1,1.1
146,2/28/13 0:21,38.905159,-77.06650543,54.14706421,"iPhone5,1",6.0.1,1.1
147,2/28/13 0:34,38.89582825,-77.05065155,67,"iPhone5,1",6.0.1,1.1
148,2/28/13 0:49,38.88930511,-77.03052521,50.42541122,"iPhone5,1",6.0.1,1.1
149,2/28/13 0:55,38.89442444,-77.02581024,41.34558868,"iPhone5,1",6.0.1,1.1
150,2/28/13 1:01,38.89739227,-77.03202057,32,"iPhone5,1",6.0.1,1.1
151,2/28/13 1:10,38.8920784,-77.04033661,32,"iPhone5,1",6.0.1,1.1
